Gloomhaven,2017,8.585,8.85,31656
Pandemic Legacy: Season 1,2015,8.471,8.62,34912
Terraforming Mars,2016,8.269,8.42,48903
Through the Ages: A New Story of Civilization,2015,8.236,8.49,18408
Brass: Birmingham,2018,8.213,8.63,10297
Twilight Imperium (Fourth Edition),2017,8.174,8.69,9532
Twilight Struggle,2005,8.16,8.31,36772
Star Wars: Rebellion,2016,8.156,8.43,19125
Gaia Project,2017,8.14,8.5,12166
Scythe,2016,8.098,8.26,46928
Great Western Trail,2016,8.097,8.28,23320
War of the Ring (Second Edition),2012,8.064,8.45,11259
Spirit Island,2017,8.033,8.32,16505
Terra Mystica,2012,8.021,8.17,35087
The Castles of Burgundy,2011,8.011,8.13,40382
7 Wonders Duel,2015,7.979,8.11,47442
The 7th Continent,2017,7.969,8.35,12969
Concordia,2013,7.945,8.11,23070
Brass: Lancashire,2007,7.937,8.15,16751
Viticulture Essential Edition,2015,7.922,8.11,21868
Arkham Horror: The Card Game,2016,7.916,8.19,21334
Puerto Rico,2002,7.901,8.02,58972
A Feast for Odin,2016,7.896,8.18,13638
Mage Knight Board Game,2011,7.891,8.1,25195
Orléans,2014,7.882,8.08,18240
Wingspan,2019,7.881,8.11,21998
Caverna: The Cave Farmers,2013,7.878,8.05,25506
Food Chain Magnate,2015,7.869,8.17,11496
Agricola,2007,7.867,7.97,59596
Mansions of Madness: Second Edition,2016,7.855,8.11,19924
Blood Rage,2015,7.825,8.0,28877
Kingdom Death: Monster,2015,7.818,8.74,6661
Pandemic Legacy: Season 2,2017,7.812,8.2,9079
Power Grid,2004,7.786,7.88,52471
Mechs vs. Minions,2016,7.782,8.09,12322
Through the Ages: A Story of Civilization,2006,7.773,7.97,17315
Star Wars: Imperial Assault,2014,7.772,8.05,18227
Tzolk'in: The Mayan Calendar,2012,7.77,7.92,26743
Root,2018,7.766,8.06,14177
Eclipse,2011,7.748,7.92,24905
Azul,2017,7.738,7.87,38629
Le Havre,2008,7.737,7.88,24332
Nemesis,2018,7.729,8.49,6469
Clans of Caledonia,2017,7.723,8.03,11307
The Voyages of Marco Polo,2015,7.719,7.92,17271
Robinson Crusoe: Adventures on the Cursed Island,2012,7.714,7.88,29525
Android: Netrunner,2012,7.692,7.88,25301
Anachrony,2017,7.684,8.09,8884
7 Wonders,2010,7.673,7.77,74870
Race for the Galaxy,2007,7.662,7.76,42728
Keyflower,2012,7.654,7.84,17080
Dominant Species,2010,7.648,7.85,16695
Fields of Arle,2014,7.645,8.1,6659
Caylus,2005,7.641,7.8,25463
Lords of Waterdeep,2012,7.636,7.76,41465
Five Tribes,2014,7.628,7.77,28225
The Gallerist,2015,7.627,8.02,7975
Clank!: A Deck-Building Adventure,2016,7.621,7.81,21499
Twilight Imperium (Third Edition),2005,7.618,7.86,17684
El Grande,1995,7.612,7.76,22180
Rising Sun,2018,7.61,7.94,12954
Eldritch Horror,2013,7.606,7.83,25937
Mombasa,2015,7.596,7.91,9664
Dominion: Intrigue,2009,7.592,7.73,28330
Battlestar Galactica: The Board Game,2008,7.584,7.74,31124
Codenames,2015,7.581,7.67,57614
Lisboa,2017,7.579,8.18,5168
Everdell,2018,7.578,8.01,8476
Patchwork,2014,7.577,7.69,38221
Teotihuacan: City of Gods,2018,7.576,7.96,8355
Troyes,2010,7.574,7.76,16390
Crokinole,1876,7.572,7.83,10430
Too Many Bones,2017,7.567,8.48,3920
Aeon's End,2016,7.56,8.04,7163
Russian Railroads,2013,7.558,7.79,13134
Roll for the Galaxy,2014,7.556,7.7,23237
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,7.555,7.77,14853
Tigris & Euphrates,1997,7.548,7.7,23985
Architects of the West Kingdom,2018,7.546,7.86,10471
Trajan,2011,7.545,7.77,13510
Agricola (Revised Edition),2016,7.538,8.06,6414
Underwater Cities,2018,7.534,8.1,5257
Dominion,2008,7.529,7.63,71940
Pandemic,2008,7.526,7.62,90003
Raiders of the North Sea,2015,7.522,7.81,11614
Pandemic: Iberia,2016,7.511,7.95,7023
Kemet,2012,7.508,7.73,14561
Star Wars: X-Wing Miniatures Game,2012,7.508,7.72,21736
Yokohama,2016,7.49,7.89,7097
T.I.M.E Stories,2015,7.487,7.67,21141
Dead of Winter: A Crossroads Game,2014,7.486,7.63,35623
Grand Austria Hotel,2015,7.485,7.79,9906
Champions of Midgard,2015,7.481,7.78,10626
Stone Age,2008,7.48,7.59,40701
Forbidden Stars,2015,7.479,7.96,6636
Descent: Journeys in the Dark (Second Edition),2012,7.475,7.71,20793
Alchemists,2014,7.474,7.69,16157
Lorenzo il Magnifico,2016,7.47,7.88,7019
The Quacks of Quedlinburg,2018,7.465,7.76,11142
Star Realms,2014,7.462,7.6,31519
